Web ID	Description	Observational Scale	First Sampling	Taxa S	Pearson's r of AMR	Slope of AMR	Intercept of AMR	Rsquare of AMR	Quadratic Coefficient	Jarque-Bera	Lilliefors	Absolute Residuals	Durbin-Watson	Truncated Pareto	Possible Links L	Link Density	5th TLL	Average TLL	95th TLL	Min Log(N)	Log(averageN)	Max Log(N)	Log(summedN)	Min Log(B)	Log(averageB)	Max log(B)	Log(summedB)																
120	intensive farm	Medium	"May 2, 1999"	47	-0.79	-0.6321	3.3861	0.6260	1	1	1	1	1	1	806	17	0.46	2.65	4.88	0.62	4.416	5.512	6.088	1.452	4.575	5.937	6.247																
121	intensive farm	Large	"April 26, 1999"	46	-0.74	-0.5543	3.6590	0.5458	1	1	1	1	1	1	783	17	0.55	2.82	4.54	0.62	4.473	5.446	6.135	1.669	5.028	6.401	6.691																
122	conventional farm	Medium	"April 29, 1999"	52	-0.71	-0.5854	3.7144	0.5004	1	1	1	1	1	1	1077	21	0.48	2.64	4.69	0.62	4.615	5.643	6.331	1.669	5.065	6.526	6.781																
123	intensive farm	Medium	"April 28, 1999"	49	-0.71	-0.6040	3.7911	0.5018	1	1	1	1	1	1	923	19	0.46	2.69	4.89	0.62	4.578	5.55	6.268	2.146	5.134	6.622	6.824																
124	intensive farm	Medium	"April 27, 1999"	49	-0.76	-0.5625	3.7387	0.5753	1	1	1	1	1	1	913	19	0.52	2.41	4.46	0.62	4.347	5.286	6.037	2.21	4.839	6.21	6.529																
125	intensive farm	Large	"April 20, 1999"	51	-0.79	-0.5770	3.6913	0.6241	1	1	1	1	1	1	941	18	0.49	2.57	4.25	0.62	4.365	5.372	6.072	1.824	4.99	6.276	6.697																
126	intensive farm	Large	"June 30, 1999"	46	-0.69	-0.5421	3.6860	0.4819	1	1	1	1	1	1	710	15	0.58	2.42	4.37	0.921	4.415	5.535	6.078	1.669	4.823	6.225	6.485																
127	conventional farm	Medium	"May 20, 1999"	53	-0.63	-0.5003	3.5451	0.3994	1	1	1	1	1	1	1026	19	0.57	2.48	4.66	1.523	4.319	5.373	6.044	1.752	4.958	6.276	6.682																
128	intensive farm	Medium	"May 31, 1999"	30	-0.70	-0.5989	3.7798	0.4965	1	1	1	1	1	1	233	8	0.50	3.34	9.06	0.921	4.62	5.609	6.097	1.368	4.57	5.517	6.048																
129	intensive farm	Medium	"June 28, 1999"	39	-0.64	-0.4996	3.5808	0.4097	1	1	1	1	1	1	621	16	0.48	2.46	4.28	1.574	4.251	5.224	5.842	1.981	4.842	6.17	6.433																
130	intensive farm	Medium	"June 17, 1999"	43	-0.59	-0.6031	3.4267	0.3434	1	1	1	1	1	1	636	15	0.30	2.32	4.38	1.771	4.273	5.311	5.906	1.452	4.126	5.379	5.76																
131	intensive farm	Medium	"June 18, 1999"	48	-0.66	-0.5607	3.6847	0.4318	1	1	1	1	1	1	802	17	0.57	2.65	4.53	0.62	4.486	5.543	6.168	1.452	4.92	6.167	6.601																
132	conventional farm	Medium	"June 22, 1999"	39	-0.61	-0.5761	3.5688	0.3733	1	1	1	1	1	1	448	11	0.71	2.86	4.41	0.921	4.541	5.599	6.132	1.275	4.415	5.517	6.006																
133	intensive farm	Large	"June 7, 1999"	53	-0.70	-0.4490	3.6871	0.4941	1	1	1	1	1	1	885	17	0.42	2.15	3.91	1.222	4.348	5.428	6.073	1.368	5.409	7.016	7.134																
134	intensive farm	Medium	"May 31, 1999"	49	-0.72	-0.5529	3.7232	0.5123	1	1	1	1	1	1	1015	21	0.45	2.15	4.03	0.62	4.444	5.622	6.134	2.131	4.666	5.915	6.356																
135	intensive farm	Medium	"June 1, 1999"	46	-0.72	-0.5637	3.5365	0.5225	1	1	1	0	1	1	696	15	0.35	2.44	3.88	0.62	4.348	5.456	6.01	1.666	4.437	5.622	6.1																
136	conventional farm	Medium	"June 10, 1999"	47	-0.66	-0.4935	3.7165	0.4384	1	1	1	1	1	1	777	17	0.45	2.43	4.18	1.097	4.511	5.681	6.183	1.981	4.845	6.061	6.517																
137	organic farm	Large	"June 21, 1999"	50	-0.70	-0.5381	3.6345	0.4837	1	1	1	1	1	1	756	15	0.66	2.88	4.96	1.319	4.427	5.286	6.126	1.432	4.789	6.167	6.488																
138	organic farm	Large	"June 22, 1999"	51	-0.72	-0.5327	3.6200	0.5236	1	1	1	1	1	1	729	14	0.61	2.85	5.12	1.097	4.488	5.669	6.195	1.368	5.076	6.414	6.784																
140	organic farm	Large	"June 24, 1999"	53	-0.69	-0.5974	3.7076	0.4811	1	1	1	1	1	1	966	18	0.40	2.54	4.57	1.319	4.56	5.552	6.284	1.666	4.795	6.119	6.519																
141	organic farm	Large	"June 23, 1999"	50	-0.66	-0.6488	3.7872	0.4382	1	1	1	1	0	1	684	14	0.52	2.57	4.68	0.921	4.727	5.697	6.426	1.733	4.56	5.666	6.259																
142	organic farm	Medium	"June 21, 1999"	51	-0.70	-0.5224	3.6583	0.4884	1	1	1	1	1	1	953	19	0.59	2.69	4.29	0.62	4.393	5.282	6.101	2.09	4.744	6.17	6.451																
143	organic farm	Medium	"June 23, 1999"	49	-0.72	-0.5397	3.6623	0.5200	1	1	1	0	1	1	808	16	0.39	2.57	4.50	1.097	4.567	5.607	6.257	1.845	5.151	6.414	6.841																
144	intensive farm	Medium	"June 28, 2000"	71	-0.62	-0.5231	3.3484	0.3867	1	1	1	1	0	1	1876	26	0.53	2.39	4.46	0.761	4.322	5.545	6.174	1.666	4.902	6.318	6.753																
145	super-intensive farm	Medium	"May 18, 2000"	61	-0.56	-0.3491	3.2757	0.3108	1	1	1	1	1	1	1430	23	0.52	2.24	3.98	0.921	3.794	4.711	5.579	1.275	5.45	7.083	7.235																
146	super-intensive farm	Medium	"May 10, 2000"	59	-0.60	-0.5041	3.3089	0.3612	1	1	1	1	1	1	1069	18	0.44	2.16	4.41	0.921	4.225	5.231	5.996	1.669	4.755	6.225	6.526																
147	super-intensive farm	Medium	"April 26, 2000"	62	-0.64	-0.4987	3.3492	0.4142	1	1	1	1	1	1	990	16	0.45	2.16	4.10	1.523	4.141	5.362	5.933	1.432	4.818	6.363	6.611																
148	super-intensive farm	Medium	"May 11, 2000"	63	-0.64	-0.5762	3.3640	0.4067	1	1	1	1	1	1	1525	24	0.38	1.99	3.93	0.62	4.175	5.182	5.974	1.275	4.389	5.527	6.188																
149	super-intensive farm	Medium	"May 22, 2000"	59	-0.60	-0.5243	3.3484	0.3608	1	1	1	1	1	1	1282	22	0.44	2.25	4.47	0.62	4.268	5.61	6.039	1.39	4.698	6.061	6.469																
150	super-intensive farm	Medium	"May 15, 2000"	61	-0.65	-0.5622	3.2719	0.4279	1	1	1	1	1	1	1372	22	0.35	2.28	4.37	0.62	4.449	5.848	6.235	1.275	4.752	5.994	6.537																
151	super-intensive farm	Medium	"May 16, 2000"	55	-0.66	-0.4861	3.3943	0.4368	1	1	1	1	1	1	1099	20	0.50	2.46	4.49	1.046	4.271	5.412	6.012	1.368	4.959	6.363	6.699																
152	super-intensive farm	Medium	"May 12, 2000"	67	-0.63	-0.4824	3.4164	0.3960	1	1	1	1	1	1	1594	24	0.42	2.17	4.32	0.921	4.363	5.582	6.189	1.113	5.131	6.84	6.957																
153	super-intensive farm	Medium	"May 29, 2000"	67	-0.60	-0.5081	3.2319	0.3652	1	1	1	1	0	1	1372	20	0.40	2.23	4.21	0.62	4.392	5.674	6.218	1.414	4.957	6.435	6.783																
154	super-intensive farm	Medium	"May 19, 2000"	59	-0.55	-0.4302	3.2089	0.3016	1	1	1	1	1	1	1282	22	0.39	2.21	4.22	1.097	4.15	5.387	5.921	1.113	4.983	6.539	6.754																
155	super-intensive farm	Medium	"May 9, 2000"	76	-0.60	-0.4780	3.3419	0.3574	1	1	1	1	1	1	2157	28	0.49	2.26	4.18	0.62	4.143	5.41	6.024	1.39	5.041	6.702	6.922																
156	super-intensive farm	Medium	"May 25, 2000"	57	-0.66	-0.5824	3.4297	0.4292	1	1	1	1	1	1	1033	18	0.47	2.34	4.15	0.62	4.296	5.26	6.052	1.452	4.517	5.706	6.273																
157	super-intensive farm	Medium	"May 4, 2000"	54	-0.23	-0.1188	2.8162	0.0515	1	1	1	1	1	1	978	18	0.31	1.82	3.52	1.523	3.464	4.74	5.196	1.24	5.358	6.84	7.091																
158	super-intensive farm	Medium	"June 20, 2000"	78	-0.63	-0.5866	3.2193	0.3978	0	1	1	1	1	1	2291	29	0.39	2.02	4.25	1.097	4.319	5.676	6.211	1.727	4.459	5.818	6.351																
159	super-intensive farm	Small	"June 19, 2000"	53	-0.66	-0.5226	3.6546	0.4349	1	1	1	1	1	1	1083	20	0.55	2.66	5.06	1.222	4.655	5.867	6.379	1.368	5.418	7.016	7.143																
160	super-intensive farm	Medium	"June 21, 2000"	59	-0.61	-0.4709	3.4393	0.3776	1	1	1	1	1	1	1101	19	0.45	2.46	4.62	1.222	4.356	5.646	6.127	1.414	5.034	6.539	6.804																
161	super-intensive farm	Medium	"June 8, 2000"	59	-0.63	-0.4881	3.3052	0.3989	1	1	1	1	0	1	1460	25	0.41	2.55	4.28	0.62	4.108	4.996	5.879	1.368	4.909	6.257	6.68																
162	super-intensive farm	Medium	"June 22, 2000"	59	-0.62	-0.4099	3.4201	0.3860	1	1	1	1	1	1	984	17	0.34	2.19	4.34	0.62	4.094	5.13	5.864	1.565	5.064	6.539	6.835																
163	super-intensive farm	Medium	"May 23, 2000"	63	-0.59	-0.4608	3.3367	0.3498	1	1	1	1	1	1	1334	21	0.44	2.10	4.04	1.319	4.151	5.198	5.95	1.368	4.851	6.362	6.65																
164	forest	Small	"June 26, 2000"	75	-0.58	-0.4656	2.8570	0.3308	1	1	1	1	1	1	1800	24	0.31	1.56	3.36	1.36	3.782	5.458	5.657	1.323	4.172	5.957	6.047																
165	forest	Small	"June 23, 2000"	74	-0.41	-0.4124	2.9446	0.1709	1	1	1	1	1	1	1654	22	0.39	1.72	3.20	1.976	3.646	4.797	5.515	1.171	3.611	4.777	5.48																
166	forest	Small	"June 9, 2000"	85	-0.23	-0.1950	3.0133	0.0544	0	1	1	1	1	1	2566	30	0.34	1.51	2.96	1.976	3.539	4.75	5.468	1.171	4.092	5.614	6.021																
167	forest	Small	"April 20, 2000"	68	-0.29	-0.2533	3.0835	0.0838	1	1	1	1	1	1	1247	18	0.34	1.45	2.80	1.976	3.603	4.482	5.436	1.171	4.135	5.796	5.968																
168	forest	Small	"May 3, 2000"	84	-0.09	-0.0750	2.9724	0.0078	1	1	1	1	1	0	2090	25	0.40	1.52	2.76	1.976	3.415	4.302	5.34	0.924	4.016	5.445	5.94																
169	forest	Small	"April 17, 2000"	66	-0.41	-0.3680	2.9214	0.1652	0	1	1	1	1	1	1287	20	0.38	1.54	3.14	1.976	3.498	4.577	5.317	1.414	4.063	5.789	5.883																
170	forest	Small	"May 26, 2000"	71	-0.40	-0.3438	2.7313	0.1617	0	1	1	1	1	1	1436	20	0.28	1.61	3.29	1.804	3.335	4.655	5.186	1.113	3.653	5.149	5.504																
171	forest	Small	"June 6, 2000"	62	-0.33	-0.2286	2.9030	0.1098	1	1	1	1	1	1	1045	17	0.32	1.60	2.93	1.976	3.258	4.151	5.051	0.755	3.806	5.223	5.598																
172	forest	Small	"April 18, 2000"	66	-0.14	-0.1245	2.9136	0.0208	1	1	1	1	1	1	1214	18	0.33	1.65	3.26	1.976	3.49	4.764	5.309	1.022	4.306	6.023	6.125																
173	forest	Small	"April 21, 2000"	70	-0.40	-0.3184	2.9538	0.1585	1	1	1	1	1	1	1287	18	0.29	1.51	3.02	1.976	3.42	4.406	5.265	1.113	3.904	5.531	5.749																
175	forest	Small	"April 28, 2000"	82	-0.28	-0.2535	3.1211	0.0760	1	1	1	1	1	1	1784	22	0.39	1.61	3.03	1.779	3.619	4.656	5.533	1.27	3.939	5.368	5.853																
176	forest	Small	"May 2, 2000"	96	-0.53	-0.6790	3.2550	0.2816	1	1	1	1	1	1	2758	29	0.42	1.98	3.97	1.779	4.151	5.207	6.133	1.275	4.229	5.801	6.212																
177	forest	Small	"April 25, 2000"	84	-0.33	-0.2919	2.9755	0.1087	1	1	0	1	1	1	1892	23	0.35	1.70	3.25	1.779	3.534	4.66	5.459	1.178	3.876	5.261	5.8																
178	forest	Small	"June 27, 2000"	74	-0.51	-0.4203	2.8777	0.2644	1	1	0	1	1	1	1486	20	0.31	1.66	3.32	1.976	3.452	4.811	5.321	1.375	3.603	4.915	5.473																
179	forest	Small	"April 27, 2000"	84	-0.20	-0.1913	3.1380	0.0401	1	1	1	1	1	1	2241	27	0.41	1.68	3.17	1.976	3.66	4.58	5.584	1.136	4.199	5.689	6.123																
180	forest	Small	"May 30, 2000"	86	-0.24	-0.1840	2.9531	0.0565	0	1	1	1	1	1	1860	22	0.36	1.50	2.82	1.779	3.404	4.391	5.339	1.432	4.072	5.788	6.007																
181	forest	Small	"May 8, 2000"	73	-0.18	-0.1507	3.1230	0.0332	1	1	1	1	1	0	1585	22	0.37	1.56	2.85	1.976	3.572	4.518	5.435	1.018	4.178	5.818	6.042																
182	forest	Small	"May 31, 2000"	84	-0.27	-0.2391	3.0857	0.0727	1	1	1	1	1	1	2015	24	0.41	1.72	3.19	1.779	3.739	5.063	5.663	1.113	4.047	5.5	5.971																
183	forest	Small	"June 14, 2000"	77	-0.58	-0.4909	3.0868	0.3395	1	1	1	1	1	1	1753	23	0.37	1.70	3.32	0.62	3.91	5.492	5.796	1.368	4.066	5.454	5.953																
184	grassland	Medium	"June 15, 2000"	65	-0.52	-0.4391	3.3319	0.2665	1	1	1	1	1	1	1319	20	0.41	2.41	4.41	0.921	4.371	5.496	6.184	1.275	4.991	6.414	6.804																
185	grassland	Large	"June 13, 2000"	60	-0.62	-0.5353	3.5458	0.3889	1	1	1	1	1	1	1032	17	0.41	2.38	4.44	0.62	4.539	5.611	6.317	1.368	5.105	6.524	6.883																
186	grassland	Large	"May 11, 2000"	51	-0.59	-0.4757	3.3828	0.3531	1	1	1	1	1	1	761	15	0.54	2.56	4.75	1.799	4.275	5.15	5.982	1.368	5.174	6.644	6.882																
187	grassland	Large	"April 26, 2000"	64	-0.66	-0.5483	3.5135	0.4404	1	1	1	1	1	1	1275	20	0.43	2.24	4.37	0.62	4.232	5.2	6.038	1.113	4.649	6.167	6.456																
188	grassland	Medium	"May 1, 2000"	68	-0.57	-0.4286	3.4529	0.3203	1	1	1	1	1	1	1746	26	0.53	2.36	4.27	1.222	4.21	5.214	6.043	1.565	5.194	6.636	7.026																
189	grassland	Medium	"May 8, 2000"	53	-0.57	-0.5089	3.5252	0.3198	1	1	1	1	1	1	939	18	0.43	2.39	4.54	1.645	4.389	5.448	6.114	1.83	4.887	6.241	6.612																
190	grassland	Large	"May 30, 2000"	49	-0.53	-0.4524	3.5877	0.2823	1	1	1	1	1	1	774	16	0.48	2.36	4.19	1.319	4.373	5.326	6.063	1.654	4.722	6.02	6.412																
191	grassland	Medium	"May 23, 2000"	65	-0.57	-0.4640	3.4288	0.3202	1	1	1	1	1	1	1600	25	0.40	2.03	3.83	1.188	4.23	5.471	6.043	1.824	4.77	6.193	6.582																
192	grassland	Medium	"May 23, 2000"	82	-0.51	-0.5079	3.3829	0.2616	1	1	1	1	0	1	2599	32	0.40	1.99	3.82	1.222	4.252	5.445	6.166	1.672	4.347	5.818	6.261																
193	agricultural field	Medium	"February 14, 2001"	47	-0.71	-0.5940	3.3170	0.4986	1	1	1	1	1	1	500	11	0.33	2.62	6.17	0.62	4.364	5.555	6.036	1.275	4.454	5.923	6.127																
194	agricultural field	Large	"March 6, 2001"	41	-0.49	-0.5555	3.1122	0.2420	1	1	1	1	1	1	506	12	0.34	2.38	4.70	1.976	4.382	5.811	5.995	1.113	4.167	5.33	5.779																
196	agricultural field	Large	"March 8, 2001"	37	-0.63	-0.6055	3.0899	0.3919	1	1	1	1	1	1	309	8	0.32	2.80	5.89	0.921	4.346	5.598	5.914	1.113	4.277	5.517	5.845																
197	agricultural field	Large	"February 15, 2001"	52	-0.61	-0.6514	3.1493	0.3681	1	1	1	1	1	1	729	14	0.51	2.29	4.33	1.779	4.262	5.79	5.978	1.565	3.878	5.098	5.594																
198	agricultural field	Large	"March 9, 2001"	40	-0.42	-0.4967	3.4466	0.1758	1	1	1	1	1	1	314	8	0.35	2.66	4.75	1.779	4.84	6.349	6.442	1.368	4.429	5.657	6.031																
199	agricultural field	Medium	"February 13, 2001"	40	-0.64	-0.7434	3.2999	0.4060	1	1	1	1	1	1	480	12	0.40	2.50	5.28	1.976	4.804	6.301	6.406	1.591	4.236	5.61	5.838																
200	agricultural field	Large	"February 27, 2001"	38	-0.75	-0.5635	3.3120	0.5621	1	1	1	1	1	1	353	9	0.46	2.91	6.32	0.62	4.397	5.623	5.977	1.275	4.818	6.238	6.398																
201	agricultural field	Medium	"February 12, 2001"	44	-0.70	-0.8369	3.1602	0.4866	0	1	1	1	1	1	310	7	0.33	2.89	5.99	1.779	4.525	5.856	6.168	1.275	3.878	5.164	5.522																
202	agricultural field	Medium	"March 5, 2001"	54	-0.63	-0.4721	3.0204	0.3943	1	1	1	1	1	1	678	13	0.40	2.38	4.34	1.222	3.88	4.885	5.612	1.113	4.656	5.994	6.389																
203	agricultural field	Large	"February 16, 2001"	37	-0.68	-0.7047	2.9704	0.4566	1	1	1	1	1	1	327	9	0.31	2.42	4.10	1.779	3.94	4.994	5.509	1.275	3.312	4.302	4.88																
204	agricultural field	Large	"February 26, 2001"	43	-0.63	-0.7309	3.1331	0.4030	1	1	1	1	1	1	348	8	0.38	2.80	5.06	1.779	4.354	5.572	5.988	1.113	3.763	4.88	5.397																
205	agricultural field	Large	"March 1, 2001"	41	-0.50	-0.6450	3.0822	0.2531	1	1	1	1	1	1	467	11	0.37	2.46	4.73	1.452	4.545	5.985	6.158	1.255	4.347	5.687	5.96																
206	agricultural field	Large	"February 23, 2001"	51	-0.72	-0.6266	3.2113	0.5161	1	1	1	1	1	1	701	14	0.44	2.24	4.39	0.62	4.335	5.828	6.043	1.565	4.046	5.321	5.754																
207	agricultural field	Large	"February 19, 2001"	46	-0.61	-0.6017	3.3165	0.3698	1	1	1	1	1	1	539	12	0.51	2.75	4.75	0.62	4.583	6.017	6.245	1.275	4.309	5.325	5.972																
208	agricultural field	Medium	"March 12, 2001"	33	-0.71	-0.7356	3.1990	0.5074	1	1	1	1	1	1	341	10	0.59	2.60	4.35	1.779	4.277	5.599	5.796	2.003	3.902	5.027	5.42																
209	agricultural field	Large	"March 2, 2001"	42	-0.53	-0.5596	3.2843	0.2854	1	1	1	1	1	1	443	11	0.36	2.41	4.32	1.779	4.313	5.633	5.936	1.368	3.941	4.941	5.564																
210	agricultural field	Medium	"February 20, 2001"	54	-0.58	-0.5315	3.2865	0.3379	1	1	1	1	1	1	981	18	0.47	2.36	4.57	0.62	4.134	5.264	5.866	1.727	4.508	5.981	6.24																
211	agricultural field	Medium	"February 22, 2001"	52	-0.73	-0.5837	3.2134	0.5380	1	1	1	1	1	1	680	13	0.43	2.69	4.71	0.62	4.272	5.717	5.988	1.113	4.48	5.693	6.196																
212	agricultural field	Medium	"February 28, 2001"	39	-0.59	-0.6370	3.3507	0.3500	1	1	1	1	1	1	317	8	0.33	2.81	5.12	1.976	4.421	5.725	6.012	1.171	4.257	5.405	5.848																
213	agricultural field	Medium	"March 7, 2001"	48	-0.65	-0.7596	3.1641	0.4208	0	1	1	1	1	1	939	20	0.35	2.39	4.76	1.779	4.339	5.749	6.02	1.368	4.08	5.161	5.761																
214	agricultural field	Medium	"March 7, 2001"	53	-0.68	-0.6161	3.0671	0.4622	1	1	1	1	1	1	954	18	0.36	2.13	4.16	0.62	4.021	5.298	5.745	1.368	3.91	5.321	5.634																
215	agricultural field	Small	"April 23, 2001"	48	-0.50	-0.5813	3.4941	0.2508	1	1	1	1	1	1	733	15	0.50	2.26	4.37	2.101	4.483	5.76	6.164	1.716	4.921	6.529	6.603																
216	agricultural field	Small	"April 23, 2001"	43	-0.68	-0.7921	3.1764	0.4667	1	1	1	1	1	1	455	11	0.27	2.23	4.01	2.067	4.198	5.15	5.832	1.238	3.594	4.458	5.227																
217	agricultural field	Small	"April 23, 2001"	61	-0.61	-0.7313	3.2370	0.3675	0	1	1	1	0	1	1253	21	0.36	2.07	4.14	2.101	4.363	5.458	6.148	1.4	3.937	5.078	5.722																
218	agricultural field	Small	"April 23, 2001"	45	-0.64	-0.7022	3.2419	0.4112	1	1	1	1	1	1	597	13	0.42	2.37	4.39	2.101	4.452	5.801	6.105	1.493	4.136	5.49	5.789																
219	agricultural field	Medium	"March 6, 2001"	50	-0.45	-0.4019	3.4630	0.2042	1	1	1	1	1	1	891	18	0.46	2.46	4.69	1.097	4.386	5.642	6.085	1.113	4.601	5.693	6.3																
220	agricultural field	Large	"March 13, 2001"	46	-0.70	-0.6071	3.2788	0.4892	1	1	1	1	0	1	488	11	0.40	2.55	4.48	0.62	4.151	5.141	5.814	1.669	4.158	5.351	5.821																
221	agricultural field	Medium	"March 15, 2001"	46	-0.68	-0.4276	3.3092	0.4648	1	1	1	1	1	1	423	9	0.49	2.59	4.82	1.097	3.932	4.768	5.595	1.669	4.969	6.414	6.632																
222	organic farm	Large	"May 30, 2002"	62	-0.38	-0.4656	3.5269	0.1442	0	1	1	1	0	1	1362	22	0.41	2.36	4.47	1.976	4.469	5.646	6.261	1.6	4.902	6.411	6.694																
223	organic farm	Medium	"May 15, 2002"	48	-0.46	-0.5126	3.5397	0.2131	0	1	1	1	0	1	878	18	0.59	2.50	4.67	1.976	4.432	5.475	6.114	1.368	4.771	6.008	6.453																
224	organic farm	Medium	"June 4, 2002"	60	-0.45	-0.5005	3.3999	0.1985	0	1	1	1	1	1	1112	19	0.51	2.20	4.31	1.976	4.357	5.551	6.135	1.432	4.585	6.017	6.363																
225	organic farm	Medium	"May 16, 2002"	55	-0.42	-0.4252	3.3124	0.1740	0	1	1	1	1	1	921	17	0.44	2.29	4.30	1.976	4.302	5.736	6.042	1.171	4.769	6.114	6.509																
